Código SIGEP,Nombre de la entidad,Nit,Orden,Suborden,Código DIVIPOLA Departamento,Departamento,Código DIVIPOLA Municipio ,Municipio,Clasificación Orgánica,Sector,Nivel,Tipo de Vinculacíon ,Naturaleza jurídica ,Longitud,Latitud,Año,Trimestre,Fuente,Sexo: Hombres,Sexo: Mujeres,Sexo: No reporta,Número contratistas,Número servidores públicos,Nivel: Postgrado,Nivel: Profesional,Nivel: Técnicas - Tecnológicas,Nivel: Secundaria,Nivel: Primaria,Nivel: No reporta,Edad: 18-21,Edad: 22-24,Edad: 25-28,Edad: No reporta
0400,ALCALDÍA DE GUACHUCAL,800015889,Territorial,Municipal,52,Nariño,317,GUACHUCAL,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-77,731133",",960072",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
3697,SALUD YOPAL - YOPAL,844003225,Territorial,Municipal,85,Casanare,001,YOPAL,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-72,400523","5,348903",2020,4,Ultima actualización: Diciembre 2020,19,41,0,53,7,0,33,16,11,0,0,3,21,36,0
5326,FINANCIERA DE DESARROLLO TERRITORIAL S.A.,800096329-1,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Hacienda y Crédito Público,Descentralizado,Vinculación,Sociedad de Economía Mixta,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,2,5,0,7,0,3,2,2,0,0,0,1,1,5,0
0422,ALCALDÍA DE MÁLAGA,890205229,Territorial,Municipal,68,Santander,432,MÁLAGA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,729891","6,703858",2020,4,Ultima actualización: Diciembre 2020,1,2,0,1,2,0,0,3,0,0,0,2,1,0,0
0490,ALCALDÍA DE SAN LUIS DE SINCÉ,800100747,Territorial,Municipal,70,Sucre,742,SAN LUIS DE SINCÉ,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,146445","9,241075",2020,4,Ultima actualización: Diciembre 2020,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4399,GOBERNACIÓN DE SUCRE,892280021,Territorial,Departamental,70,Sucre,001,SINCELEJO,Ejecutiva,No Aplica,Central,Adscripción,Gobernación,"-75,390557","9,304577",2020,4,Ultima actualización: Diciembre 2020,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
3755,"EMPRESA DE SERVICIOS PUBLICOS DE ACUEDUCTO, ALCANTARILLAD  O  Y ASEO MUNICIPAL DE CURUMANI - ACUACUR",800239720,Territorial,Municipal,20,Cesar,228,CURUMANÍ,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas de Servicios Públicos Domiciliarios - Oficiales,"-73,542566","9,201062",2020,4,Ultima actualización: Diciembre 2020,1,2,0,1,2,1,2,0,0,0,0,0,0,3,0
0125,ALCALDÍA DE BARBOSA - ANTIOQUIA,890980445-7,Territorial,Municipal,05,Antioquia,079,BARBOSA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,334099","6,438791",2020,4,Ultima actualización: Diciembre 2020,2,2,0,3,1,0,1,3,0,0,0,0,2,2,0
3821,EMPRESAS PÚBLICAS DE CUNDINAMARCA S.A.,900222346,Territorial,Departamental,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas de Servicios Públicos Domiciliarios - Oficiales,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,30,41,0,70,1,12,32,20,7,0,0,3,23,45,0
0718,ALCALDÍA DE LANDÁZURI,890210704,Territorial,Municipal,68,Santander,385,LANDÁZURI,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,809258","6,219459",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
